D:\Code\DQN\flappyrl\agent.py:48: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda"))
[train] device=cuda  algo=baseline  n_envs=8
[train] starting — target 1000000 env-steps
step   200000 | loss 0.0020 | eps 0.050 | buf  100000 | score50   0.38 (max 3) |  608.3 st/s
  >> EVAL @ 200000: mean=29.58 max=67 (best_mean=29.58)
step   202000 | loss 0.0025 | eps 0.050 | buf  100000 | score50   0.46 (max 3) |  548.9 st/s
step   204000 | loss 0.0014 | eps 0.050 | buf  100000 | score50   0.48 (max 3) |  549.8 st/s
step   206000 | loss 0.0020 | eps 0.050 | buf  100000 | score50   0.48 (max 3) |  550.5 st/s
step   208000 | loss 0.0358 | eps 0.050 | buf  100000 | score50   0.34 (max 2) |  550.4 st/s
step   210000 | loss 0.0063 | eps 0.050 | buf  100000 | score50   0.24 (max 1) |  551.6 st/s
step   212000 | loss 0.0160 | eps 0.050 | buf  100000 | score50   0.32 (max 2) |  551.8 st/s
step   214000 | loss 0.0235 | eps 0.050 | buf  100000 | score50   0.48 (max 3) |  552.5 st/s
step   216000 | loss 0.0035 | eps 0.050 | buf  100000 | score50   0.48 (max 3) |  553.0 st/s
step   218000 | loss 0.0025 | eps 0.050 | buf  100000 | score50   0.54 (max 3) |  553.2 st/s
step   220000 | loss 0.0039 | eps 0.050 | buf  100000 | score50   0.44 (max 3) |  553.8 st/s
step   222000 | loss 0.0054 | eps 0.050 | buf  100000 | score50   0.32 (max 2) |  554.1 st/s
step   224000 | loss 0.0016 | eps 0.050 | buf  100000 | score50   0.42 (max 2) |  555.0 st/s
  >> EVAL @ 225000: mean=61.80 max=129 (best_mean=61.80)
step   226000 | loss 0.0032 | eps 0.050 | buf  100000 | score50   0.34 (max 2) |  511.3 st/s
step   228000 | loss 0.0019 | eps 0.050 | buf  100000 | score50   0.38 (max 2) |  512.2 st/s
step   230000 | loss 0.0047 | eps 0.050 | buf  100000 | score50   0.36 (max 2) |  513.4 st/s
step   232000 | loss 0.0045 | eps 0.050 | buf  100000 | score50   0.36 (max 2) |  513.8 st/s
