D:\Code\DQN\flappyrl\agent.py:48: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda"))
[train] device=cuda  algo=rainbow  n_envs=8
[train] starting — target 300000 env-steps
step     2000 | loss None | eps 1.000 | buf    1960 | score50   0.00 (max 0) | 2501.1 st/s
step   186000 | loss 2.1740 | eps 1.000 | buf  182022 | score50   0.30 (max 2) |  585.6 st/s
step   188000 | loss 2.1563 | eps 1.000 | buf  183990 | score50   0.18 (max 1) |  586.2 st/s
step   190000 | loss 1.9266 | eps 1.000 | buf  185966 | score50   0.14 (max 1) |  586.4 st/s
step   192000 | loss 2.1665 | eps 1.000 | buf  187938 | score50   0.12 (max 1) |  587.1 st/s
step   194000 | loss 1.9078 | eps 1.000 | buf  189914 | score50   0.20 (max 1) |  587.7 st/s
step   196000 | loss 2.2475 | eps 1.000 | buf  191886 | score50   0.34 (max 1) |  587.7 st/s
step   198000 | loss 2.0993 | eps 1.000 | buf  193864 | score50   0.40 (max 1) |  588.1 st/s
step   200000 | loss 1.8393 | eps 1.000 | buf  195840 | score50   0.44 (max 1) |  588.6 st/s
  >> EVAL @ 200000: mean=0.00 max=0 (best_mean=0.70)
step   202000 | loss 2.1625 | eps 1.000 | buf  197814 | score50   0.48 (max 2) |  583.4 st/s
step   204000 | loss 2.0687 | eps 1.000 | buf  199785 | score50   0.42 (max 3) |  583.1 st/s
step   206000 | loss 2.0038 | eps 1.000 | buf  200000 | score50   0.30 (max 3) |  582.9 st/s
step   208000 | loss 1.9936 | eps 1.000 | buf  200000 | score50   0.26 (max 3) |  582.8 st/s
step   210000 | loss 2.1643 | eps 1.000 | buf  200000 | score50   0.26 (max 3) |  583.5 st/s
step   212000 | loss 1.9236 | eps 1.000 | buf  200000 | score50   0.26 (max 2) |  584.3 st/s
step   214000 | loss 2.2372 | eps 1.000 | buf  200000 | score50   0.26 (max 1) |  585.0 st/s
step   216000 | loss 2.1540 | eps 1.000 | buf  200000 | score50   0.26 (max 1) |  585.7 st/s
step   218000 | loss 2.2340 | eps 1.000 | buf  200000 | score50   0.20 (max 1) |  586.3 st/s
step   220000 | loss 2.0793 | eps 1.000 | buf  200000 | score50   0.22 (max 1) |  587.0 st/s
step   222000 | loss 2.1895 | eps 1.000 | buf  200000 | score50   0.24 (max 1) |  587.7 st/s
step   224000 | loss 1.8866 | eps 1.000 | buf  200000 | score50   0.16 (max 1) |  588.2 st/s
  >> EVAL @ 225000: mean=0.05 max=1 (best_mean=0.70)
step   226000 | loss 1.8330 | eps 1.000 | buf  200000 | score50   0.20 (max 2) |  585.2 st/s
step   228000 | loss 2.2290 | eps 1.000 | buf  200000 | score50   0.22 (max 2) |  585.6 st/s
step   230000 | loss 1.8652 | eps 1.000 | buf  200000 | score50   0.22 (max 2) |  586.0 st/s
step   232000 | loss 2.1560 | eps 1.000 | buf  200000 | score50   0.22 (max 2) |  586.6 st/s
step   234000 | loss 2.0884 | eps 1.000 | buf  200000 | score50   0.22 (max 1) |  587.2 st/s
step   236000 | loss 2.0176 | eps 1.000 | buf  200000 | score50   0.18 (max 1) |  587.7 st/s
step   238000 | loss 2.1848 | eps 1.000 | buf  200000 | score50   0.16 (max 1) |  588.4 st/s
step   240000 | loss 1.8583 | eps 1.000 | buf  200000 | score50   0.18 (max 1) |  589.0 st/s
step   242000 | loss 2.1171 | eps 1.000 | buf  200000 | score50   0.16 (max 1) |  589.2 st/s
step   244000 | loss 2.0315 | eps 1.000 | buf  200000 | score50   0.16 (max 1) |  589.4 st/s
step   246000 | loss 1.9546 | eps 1.000 | buf  200000 | score50   0.16 (max 1) |  589.7 st/s
step   248000 | loss 2.1192 | eps 1.000 | buf  200000 | score50   0.18 (max 1) |  589.7 st/s
step   250000 | loss 2.1031 | eps 1.000 | buf  200000 | score50   0.18 (max 1) |  590.2 st/s
  >> EVAL @ 250000: mean=0.05 max=1 (best_mean=0.70)
step   252000 | loss 2.1143 | eps 1.000 | buf  200000 | score50   0.12 (max 1) |  587.2 st/s
step   254000 | loss 2.0557 | eps 1.000 | buf  200000 | score50   0.10 (max 1) |  587.6 st/s
step   256000 | loss 1.8037 | eps 1.000 | buf  200000 | score50   0.08 (max 1) |  587.8 st/s
step   258000 | loss 1.8534 | eps 1.000 | buf  200000 | score50   0.10 (max 1) |  588.0 st/s
step   260000 | loss 1.9614 | eps 1.000 | buf  200000 | score50   0.10 (max 1) |  587.9 st/s
step   262000 | loss 1.9011 | eps 1.000 | buf  200000 | score50   0.14 (max 1) |  588.1 st/s
step   264000 | loss 2.0434 | eps 1.000 | buf  200000 | score50   0.20 (max 1) |  588.1 st/s
step   266000 | loss 1.9439 | eps 1.000 | buf  200000 | score50   0.20 (max 1) |  588.3 st/s
step   268000 | loss 1.8889 | eps 1.000 | buf  200000 | score50   0.18 (max 1) |  587.9 st/s
step   270000 | loss 1.9969 | eps 1.000 | buf  200000 | score50   0.20 (max 1) |  587.7 st/s
step   272000 | loss 1.8575 | eps 1.000 | buf  200000 | score50   0.16 (max 1) |  587.7 st/s
step   274000 | loss 2.0577 | eps 1.000 | buf  200000 | score50   0.20 (max 1) |  588.0 st/s
  >> EVAL @ 275000: mean=0.05 max=1 (best_mean=0.70)
step   276000 | loss 1.8597 | eps 1.000 | buf  200000 | score50   0.22 (max 1) |  585.2 st/s
step   278000 | loss 1.7135 | eps 1.000 | buf  200000 | score50   0.20 (max 1) |  585.7 st/s
step   280000 | loss 1.8656 | eps 1.000 | buf  200000 | score50   0.24 (max 1) |  585.8 st/s
step   282000 | loss 1.9983 | eps 1.000 | buf  200000 | score50   0.24 (max 1) |  585.8 st/s
step   284000 | loss 1.8801 | eps 1.000 | buf  200000 | score50   0.26 (max 1) |  585.7 st/s
step   286000 | loss 2.1302 | eps 1.000 | buf  200000 | score50   0.30 (max 1) |  585.1 st/s
step   288000 | loss 1.8571 | eps 1.000 | buf  200000 | score50   0.34 (max 3) |  585.3 st/s
step   290000 | loss 1.8787 | eps 1.000 | buf  200000 | score50   0.34 (max 3) |  585.7 st/s
step   292000 | loss 2.1433 | eps 1.000 | buf  200000 | score50   0.24 (max 3) |  586.1 st/s
step   294000 | loss 2.1207 | eps 1.000 | buf  200000 | score50   0.20 (max 3) |  586.5 st/s
step   296000 | loss 1.5572 | eps 1.000 | buf  200000 | score50   0.26 (max 2) |  586.6 st/s
step   298000 | loss 1.8715 | eps 1.000 | buf  200000 | score50   0.24 (max 2) |  586.7 st/s
step   300000 | loss 1.9116 | eps 1.000 | buf  200000 | score50   0.30 (max 2) |  586.6 st/s
  >> EVAL @ 300000: mean=0.05 max=1 (best_mean=0.70)
[train] DONE. final eval mean=0.05 max=1 best_mean=0.70
[train] final checkpoint -> checkpoints\rainbow\ckpt_final.pt
